Council District,# of Properties,Effective Tax Rate w/out Exemption Based on Assessment Roll,Effective Tax Rate w/out Exemption Based on Assessment Roll 2,Compared to City Council District 7 @ .34% Based on Assessment Roll,Rank Based on Assessment Roll,# of Sales,Effective Tax Rate w/out Exemption Based on Sales Price,Effective Tax Rate w/out Exemption Based on Sales Price 2,% Higher than City Council District 33 @.29% Based on Sales Price,Rank Based on Sales Price,% of Properties that Sold
1,257 ,0.004818,0.481759,142%,9,11 ,0.003254044,0.325404379,112%,3,4.3%
2,364 ,0.005142,0.514205,151%,10,15 ,0.004543746,0.454374639,156%,11,4.1%
3,"1,175 ",0.004055,0.405474,119%,4,50 ,0.004130702,0.413070223,142%,10,4.3%
4,"1,125 ",0.006226,0.622559,183%,15,44 ,0.006360887,0.636088722,219%,15,3.9%
5,343 ,0.006159,0.615942,181%,14,16 ,0.006715569,0.671556938,231%,17,4.7%
6,564 ,0.004486,0.448585,132%,7,17 ,0.003771502,0.377150206,130%,8,3.0%
7,508 ,0.003404,0.340429,100%,1,25 ,0.003820188,0.382018783,132%,9,4.9%
8,"1,576 ",0.006982,0.698242,205%,18,58 ,0.006291761,0.629176093,217%,13,3.7%
9,"1,438 ",0.004078,0.407820,120%,5,54 ,0.002929602,0.292960239,101%,2,3.8%
10,351 ,0.007289,0.728858,214%,19,7 ,0.008684701,0.868470124,299%,29,2.0%
11,"6,763 ",0.010371,1.037065,305%,46,239 ,0.011249935,1.124993525,387%,46,3.5%
12,"16,257 ",0.011154,1.115406,328%,49,583 ,0.012258218,1.225821758,422%,52,3.6%
13,"22,233 ",0.011366,1.136576,334%,52,789 ,0.011540259,1.154025909,397%,51,3.5%
14,"2,207 ",0.008204,0.820359,241%,24,102 ,0.009996123,0.999612303,344%,37,4.6%
15,"4,240 ",0.009518,0.951803,280%,40,211 ,0.01040204,1.040203966,358%,42,5.0%
16,"1,980 ",0.006006,0.600619,176%,13,107 ,0.00811081,0.811081003,279%,22,5.4%
17,"5,253 ",0.009439,0.943947,277%,37,221 ,0.009691637,0.96916368,334%,35,4.2%
18,"9,885 ",0.011160,1.116031,328%,50,326 ,0.011401428,1.140142799,393%,49,3.3%
19,"35,106 ",0.008870,0.887040,261%,32,"1,210 ",0.008952947,0.895294652,308%,31,3.4%
20,"13,920 ",0.008538,0.853761,251%,28,478 ,0.008545513,0.854551273,294%,26,3.4%
21,"10,347 ",0.008534,0.853448,251%,27,410 ,0.008995012,0.899501151,310%,32,4.0%
22,"13,564 ",0.008137,0.813703,239%,23,336 ,0.008531343,0.853134264,294%,25,2.5%
23,"28,138 ",0.009976,0.997596,293%,45,956 ,0.010389932,1.038993249,358%,41,3.4%
24,"17,794 ",0.009184,0.918389,270%,35,577 ,0.009372525,0.937252465,323%,34,3.2%
25,"9,137 ",0.008592,0.859221,252%,29,242 ,0.008615321,0.861532136,297%,28,2.6%
26,"7,756 ",0.008247,0.824720,242%,25,202 ,0.008251308,0.825130812,284%,23,2.6%
27,"32,255 ",0.009948,0.994802,292%,44,"1,241 ",0.011275539,1.127553911,388%,47,3.8%
28,"27,745 ",0.009446,0.944607,277%,38,"1,108 ",0.010280515,1.028051485,354%,40,4.0%
29,"12,697 ",0.008422,0.842240,247%,26,401 ,0.008597611,0.859761081,296%,27,3.2%
30,"27,845 ",0.008777,0.877668,258%,31,922 ,0.008903514,0.89035137,307%,30,3.3%
31,"25,925 ",0.009685,0.968536,285%,41,"1,021 ",0.011054135,1.105413451,381%,45,3.9%
32,"27,271 ",0.009859,0.985949,290%,43,"1,053 ",0.010185359,1.018535866,351%,39,3.9%
33,"6,633 ",0.004393,0.439264,129%,6,223 ,0.002904767,0.290476736,100%,1,3.4%
34,"6,786 ",0.005575,0.557479,164%,12,317 ,0.003291501,0.329150061,113%,4,4.7%
35,"7,328 ",0.004663,0.466297,137%,8,273 ,0.003354934,0.335493404,115%,5,3.7%
36,"11,081 ",0.003940,0.394038,116%,3,667 ,0.003580747,0.358074691,123%,7,6.0%
37,"13,159 ",0.006902,0.690161,203%,17,756 ,0.006406322,0.640632241,221%,16,5.7%
38,"10,769 ",0.005557,0.555669,163%,11,359 ,0.004787029,0.478702854,165%,12,3.3%
39,"14,184 ",0.003614,0.361410,106%,2,429 ,0.003469509,0.346950878,119%,6,3.0%
40,"6,564 ",0.006496,0.649584,191%,16,279 ,0.006297223,0.629722294,217%,14,4.3%
41,"9,864 ",0.008644,0.864398,254%,30,463 ,0.007361903,0.736190304,253%,19,4.7%
42,"12,079 ",0.008929,0.892860,262%,33,386 ,0.009111997,0.911199669,314%,33,3.2%
43,"21,098 ",0.007877,0.787662,231%,21,645 ,0.007645447,0.764544689,263%,21,3.1%
44,"15,257 ",0.007419,0.741888,218%,20,424 ,0.007251927,0.725192661,250%,18,2.8%
45,"19,126 ",0.009703,0.970279,285%,42,547 ,0.010064101,1.006410069,346%,38,2.9%
46,"32,563 ",0.009457,0.945690,278%,39,"1,074 ",0.010455774,1.045577416,360%,43,3.3%
47,"16,311 ",0.007896,0.789551,232%,22,554 ,0.007496058,0.749605824,258%,20,3.4%
48,"16,238 ",0.008989,0.898923,264%,34,558 ,0.00838809,0.838808999,289%,24,3.4%
49,"31,119 ",0.011075,1.107499,325%,47,"1,242 ",0.011447634,1.144763387,394%,50,4.0%
50,"44,657 ",0.011125,1.112471,327%,48,"1,798 ",0.010606877,1.06068768,365%,44,4.0%
51,"47,742 ",0.011321,1.132095,333%,51,"1,796 ",0.011284436,1.12844358,388%,48,3.8%
Total Citywide,"708,577 ",0.009415,0.941522,277%,36,"25,822 ",0.009691996,0.969199603,334%,36,3.6%
,,,,,,,,,,,
